Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     23.39     0.00       62     0.00     0.00  var_name
  0.00     23.39     0.00       60     0.00     0.01  print_term
  0.00     23.39     0.00       60     0.00     0.00  skolem_symbol
  0.00     23.39     0.00       60     0.00     0.01  write_term
  0.00     23.39     0.00       50     0.00     0.00  clock_reset
  0.00     23.39     0.00       45     0.00     0.00  clause_to_term
  0.00     23.39     0.00       45     0.00     0.01  print_clause
  0.00     23.39     0.00       45     0.00     0.00  print_justification
  0.00     23.39     0.00       45     0.00     0.00  str_to_args
  0.00     23.39     0.00       45     0.00     0.00  term_fixup_2
  0.00     23.39     0.00       43     0.00     0.00  literals_to_term
  0.00     23.39     0.00       34     0.00     0.00  free_clause_ptr
  0.00     23.39     0.00       33     0.00     0.01  next_token_type
  0.00     23.39     0.00       32     0.00     0.00  read_buf
  0.00     23.39     0.00       32     0.00     8.78  read_term
  0.00     23.39     0.00       31     0.00     9.03  term_fixup
  0.00     23.39     0.00       25     0.00     0.00  declare_op
  0.00     23.39     0.00       23     0.00     0.00  is_eq
  0.00     23.39     0.00       22     0.00     0.00  mark_literal
  0.00     23.39     0.00       18     0.00     0.00  set_vars
  0.00     23.39     0.00       18     0.00     0.00  set_vars_term
  0.00     23.39     0.00       15     0.00     0.00  contains_skolem_symbol
  0.00     23.39     0.00       15     0.00     8.78  read_clause
  0.00     23.39     0.00       15     0.00     0.00  term_to_clause
  0.00     23.39     0.00       15     0.00     0.00  term_to_literals
  0.00     23.39     0.00       13     0.00     0.00  get_list
  0.00     23.39     0.00       13     0.00     0.00  str_int
  0.00     23.39     0.00       12     0.00     0.01  print_term_nl
  0.00     23.39     0.00        8     0.00     0.00  get_imd_tree
  0.00     23.39     0.00        7     0.00     0.00  alloc_fpa_index
  0.00     23.39     0.00        5     0.00     0.00  append_lists
  0.00     23.39     0.00        5     0.00     0.00  change_flag
  0.00     23.39     0.00        5     0.00     0.00  dependent_flags
  0.00     23.39     0.00        5     0.00     0.00  free_list
  0.00     23.39     0.00        5     0.00     0.02  print_cl_list
  0.00     23.39     0.00        5     0.00    26.34  read_cl_list
  0.00     23.39     0.00        4     0.00     0.00  ith_literal
  0.00     23.39     0.00        4     0.00     0.00  process_linked_tags
  0.00     23.39     0.00        4     0.00     0.01  str_to_list
  0.00     23.39     0.00        4     0.00     0.00  term_ident
  0.00     23.39     0.00        3     0.00     0.00  set_wt_template
  0.00     23.39     0.00        3     0.00     0.00  set_wt_term
  0.00     23.39     0.00        3     0.00     0.00  str_long
  0.00     23.39     0.00        3     0.00     0.00  weight_insert
  0.00     23.39     0.00        2     0.00     0.00  biggest_var
  0.00     23.39     0.00        2     0.00     0.00  check_input_demod
